,"silent_fraction","nonsense_fraction","splice_site_fraction","missense_fraction","recurrent_missense_fraction","frameshift_indel_fraction","inframe_indel_fraction","lost_start_stop_fraction","missense_to_silent","nonsilent_to_silent","norm_missense_poisition_entropy","norm_mutation_entropy","label"
2398,0.11111111,0.6666667,0,0,0,0,0,0.22222222,0.16666667,0.125,1.871049,1.4153489,0
2399,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
2400,0.33333334,0.33333334,0,0,0,0,0,0,1,0.5,2,1.2043824,0
2401,0.375,0.625,0,0,0,0,0,0,0.6,0.6,1.8277293,1.5416666,0
2402,0.025641026,0.2820513,0.051282052,0.051282052,0.051282052,0.53846157,0.051282052,0,0.09090909,0.02631579,1.8423283,0.6837545,1
2403,0.25,0.5,0.25,0,0,0,0,0,0.5,0.33333334,2,1.25,0
2404,0.33333334,0.33333334,0,0,0,0,0,0.33333334,1,0.5,0,0.33333334,0
2405,0.33333334,0.6666667,0,0,0,0,0,0,0.5,0.5,2,1.3333334,0
2406,1,0,0,0,0,0,0,0,0,0,0,0,0
2407,0.25,0.75,0,0,0,0,0,0,0.33333334,0.33333334,2,1.5,0
2408,0.27272728,0.54545456,0,0,0,0,0,0.18181819,0.5,0.375,1.7420981,1.3877828,0
2409,0,0,0,0,0,0,0,1,0,0,0,0,0
2410,0,0,0,0,0,0,0,0.5,0,0,0,0,0
2411,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
2412,0.14285715,0.2857143,0.14285715,0,0,0,0,0.2857143,0.5,0.16666667,2,0.90089643,0
2413,0.11111111,0.22222222,0,0.11111111,0,0.22222222,0,0.22222222,0.5,0.125,2,0.70417404,0
2414,0.36842105,0.36842105,0.05263158,0,0,0.05263158,0,0,1,0.5833333,2,1.2693015,0
2415,0,1,0,0,0,0,0,0,0,0,1.6554588,1.6554588,0
2416,0.2,0.4,0.2,0,0,0,0,0,0.5,0.25,1,1.0277294,0
2417,0.06666667,0.4,0.2,0.06666667,0,0.2,0,0,0.16666667,0.071428575,1.871049,1.0199635,0
2418,0,0.33333334,0,0.16666667,0,0,0,0.5,0,0,2,1.0267597,0
2419,0,0.6666667,0,0,0,0,0,0.33333334,0,0,2,1.6666666,0
2420,0.16666667,0.33333334,0,0,0,0,0,0,0.5,0.2,2,0.86009306,0
2421,1,0,0,0,0,0,0,0,0,0,0,0,0
2422,0.2857143,0.42857143,0,0,0,0,0,0.2857143,0.6666667,0.4,1.1587603,1.123251,0
2423,0.33333334,0.5,0,0,0,0,0,0,0.6666667,0.5,2,1.5,0
2424,0.25,0.5,0,0,0,0,0,0.25,0.5,0.33333334,2,1.25,0
2425,0.1,0.7,0,0,0,0,0,0.2,0.14285715,0.11111111,1.6946795,1.359176,0
2426,0.5,0.25,0,0,0,0.25,0,0,2,1,0,0.75,0
2427,0,0.8333333,0,0,0,0,0,0.16666667,0,0,2,1.8333334,0
2428,0.083333336,0.75,0,0,0,0,0.083333336,0.083333336,0.11111111,0.09090909,1.8597934,1.5271952,0
2429,0.16666667,0.33333334,0.16666667,0,0,0,0,0.16666667,0.5,0.2,2,1.0377157,0
2430,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0
2431,0,0.6,0.1,0,0.1,0,0,0.15,0,0,1.5815855,1.1891906,0
2432,0.07692308,0.61538464,0.07692308,0,0,0,0,0.23076923,0.125,0.083333336,1.75,1.3148937,0
2433,0.23076923,0.6923077,0,0,0,0,0,0.07692308,0.33333334,0.3,1.7195867,1.5260073,0
2434,0.3125,0.5,0,0,0,0,0,0.125,0.625,0.45454547,1.6037594,1.2771146,0
